period,stock_code,start_date,end_date
2020-08-03,PWON,2020-08-03,2020-11-02
2020-08-03,SCMA,2020-08-03,2020-11-02
2020-08-03,SMGR,2020-08-03,2020-11-02
2020-08-03,SMRA,2020-08-03,2020-11-02
2020-08-03,SRIL,2020-08-03,2020-11-02
2020-08-03,TBIG,2020-08-03,2020-11-02
2020-08-03,TKIM,2020-08-03,2020-11-02
2020-08-03,TLKM,2020-08-03,2020-11-02
2020-08-03,TOWR,2020-08-03,2020-11-02
2020-08-03,UNTR,2020-08-03,2020-11-02
2020-08-03,UNVR,2020-08-03,2020-11-02
2020-08-03,WIKA,2020-08-03,2020-11-02
2020-11-02,ACES,2020-11-02,2021-02-01
2020-11-02,ADRO,2020-11-02,2021-02-01
2020-11-02,AKRA,2020-11-02,2021-02-01
2020-11-02,ANTM,2020-11-02,2021-02-01
2020-11-02,ASII,2020-11-02,2021-02-01
2020-11-02,BBCA,2020-11-02,2021-02-01
2020-11-02,BBNI,2020-11-02,2021-02-01
2020-11-02,BBRI,2020-11-02,2021-02-01
2020-11-02,BBTN,2020-11-02,2021-02-01
2020-11-02,BMRI,2020-11-02,2021-02-01
2020-11-02,BSDE,2020-11-02,2021-02-01
2020-11-02,BTPS,2020-11-02,2021-02-01
2020-11-02,CPIN,2020-11-02,2021-02-01
2020-11-02,CTRA,2020-11-02,2021-02-01
2020-11-02,ERAA,2020-11-02,2021-02-01
2020-11-02,EXCL,2020-11-02,2021-02-01
2020-11-02,GGRM,2020-11-02,2021-02-01
2020-11-02,HMSP,2020-11-02,2021-02-01
2020-11-02,ICBP,2020-11-02,2021-02-01
2020-11-02,INCO,2020-11-02,2021-02-01
2020-11-02,INDF,2020-11-02,2021-02-01
2020-11-02,INKP,2020-11-02,2021-02-01
2020-11-02,INTP,2020-11-02,2021-02-01
2020-11-02,ITMG,2020-11-02,2021-02-01
2020-11-02,JPFA,2020-11-02,2021-02-01
2020-11-02,JSMR,2020-11-02,2021-02-01
2020-11-02,KLBF,2020-11-02,2021-02-01
2020-11-02,MDKA,2020-11-02,2021-02-01
2020-11-02,MIKA,2020-11-02,2021-02-01
2020-11-02,MNCN,2020-11-02,2021-02-01
2020-11-02,PGAS,2020-11-02,2021-02-01
2020-11-02,PTBA,2020-11-02,2021-02-01
2020-11-02,PTPP,2020-11-02,2021-02-01
2020-11-02,PWON,2020-11-02,2021-02-01
2020-11-02,SCMA,2020-11-02,2021-02-01
2020-11-02,SMGR,2020-11-02,2021-02-01
2020-11-02,SMRA,2020-11-02,2021-02-01
2020-11-02,SRIL,2020-11-02,2021-02-01
2020-11-02,TBIG,2020-11-02,2021-02-01
2020-11-02,TKIM,2020-11-02,2021-02-01
2020-11-02,TLKM,2020-11-02,2021-02-01
2020-11-02,TOWR,2020-11-02,2021-02-01
2020-11-02,UNTR,2020-11-02,2021-02-01
2020-11-02,UNVR,2020-11-02,2021-02-01
2020-11-02,WIKA,2020-11-02,2021-02-01
2021-02-01,ACES,2021-02-01,2021-05-03
2021-02-01,ADRO,2021-02-01,2021-05-03
2021-02-01,AKRA,2021-02-01,2021-05-03
2021-02-01,ANTM,2021-02-01,2021-05-03
2021-02-01,ASII,2021-02-01,2021-05-03
2021-02-01,BBCA,2021-02-01,2021-05-03
2021-02-01,BBNI,2021-02-01,2021-05-03
2021-02-01,BBRI,2021-02-01,2021-05-03
2021-02-01,BBTN,2021-02-01,2021-05-03
2021-02-01,BMRI,2021-02-01,2021-05-03
2021-02-01,BSDE,2021-02-01,2021-05-03
2021-02-01,BTPS,2021-02-01,2021-05-03
2021-02-01,CPIN,2021-02-01,2021-05-03
2021-02-01,CTRA,2021-02-01,2021-05-03
2021-02-01,ERAA,2021-02-01,2021-05-03
2021-02-01,EXCL,2021-02-01,2021-05-03
2021-02-01,GGRM,2021-02-01,2021-05-03
2021-02-01,HMSP,2021-02-01,2021-05-03
2021-02-01,ICBP,2021-02-01,2021-05-03
2021-02-01,INCO,2021-02-01,2021-05-03
2021-02-01,INDF,2021-02-01,2021-05-03
2021-02-01,INKP,2021-02-01,2021-05-03
2021-02-01,INTP,2021-02-01,2021-05-03
2021-02-01,ITMG,2021-02-01,2021-05-03
2021-02-01,JPFA,2021-02-01,2021-05-03
2021-02-01,JSMR,2021-02-01,2021-05-03
2021-02-01,KLBF,2021-02-01,2021-05-03
2021-02-01,MDKA,2021-02-01,2021-05-03
2021-02-01,MEDC,2021-02-01,2021-05-03
2021-02-01,MIKA,2021-02-01,2021-05-03
2021-02-01,MNCN,2021-02-01,2021-05-03
2021-02-01,PGAS,2021-02-01,2021-05-03
2021-02-01,PTBA,2021-02-01,2021-05-03
2021-02-01,PTPP,2021-02-01,2021-05-03
2021-02-01,PWON,2021-02-01,2021-05-03
2021-02-01,SMGR,2021-02-01,2021-05-03
2021-02-01,SMRA,2021-02-01,2021-05-03
2021-02-01,TBIG,2021-02-01,2021-05-03
2021-02-01,TKIM,2021-02-01,2021-05-03
2021-02-01,TLKM,2021-02-01,2021-05-03
2021-02-01,TOWR,2021-02-01,2021-05-03
2021-02-01,TPIA,2021-02-01,2021-05-03
2021-02-01,UNTR,2021-02-01,2021-05-03
2021-02-01,UNVR,2021-02-01,2021-05-03
2021-02-01,WIKA,2021-02-01,2021-05-03
2021-05-03,ACES,2021-05-03,2021-08-02
2021-05-03,ADRO,2021-05-03,2021-08-02
2021-05-03,AKRA,2021-05-03,2021-08-02
2021-05-03,ANTM,2021-05-03,2021-08-02
2021-05-03,ASII,2021-05-03,2021-08-02
2021-05-03,BBCA,2021-05-03,2021-08-02
2021-05-03,BBNI,2021-05-03,2021-08-02
